Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,mbti_type,text_sample
5,4,4,5,5,5,4,5,5,5,5,4,4,5,5,ENTJ,I like setting high standards and pushing teams to achieve results that exceed expectations.
1,2,2,3,1,1,1,2,5,5,5,4,4,4,5,ISTJ,I take my commitments seriously and always follow through on what I promise.
1,2,2,2,1,3,1,1,2,1,1,3,3,2,3,ISFJ,I am patient and thorough and I like to make sure everyone feels included and supported.
1,4,1,2,5,4,5,3,5,4,4,4,5,4,3,INTJ,I prefer working independently on complex strategic problems and long term planning.
4,5,5,4,5,3,3,5,2,5,5,5,5,5,4,ENTJ,I enjoy managing complex projects making decisive choices and inspiring leadership.
5,4,5,3,3,4,5,4,5,3,2,1,2,1,1,ENTP,I enjoy brainstorming creative solutions and arguing multiple perspectives on problems.
3,2,1,1,5,5,5,5,3,4,5,3,1,2,2,INTP,I am fascinated by theories and enjoy spending hours thinking through complex problems alone.
5,4,5,4,4,4,4,3,3,3,3,2,2,2,2,ENTP,I love debating new ideas challenging conventional thinking and exploring possibilities.
1,3,3,1,3,1,1,3,1,2,4,1,1,1,1,ISFP,I enjoy artistic expression working at my own pace and experiencing the present moment.
5,5,5,4,4,4,3,4,4,4,5,5,4,5,4,ENTJ,I enjoy strategic planning and find satisfaction in turning ambitious visions into reality.
5,4,4,2,5,3,5,5,1,2,2,5,4,3,5,ENFJ,I enjoy teaching coaching and helping communities achieve shared meaningful goals.
1,3,1,1,3,2,4,2,5,4,3,2,2,1,2,ISTP,I am independent and self reliant and I prefer to solve problems on my own terms.
2,4,4,5,5,5,3,4,3,3,1,1,2,1,2,ENFP,I like brainstorming campaigns advocacy and energising teams with optimistic vision.
4,5,5,5,1,1,1,3,1,3,2,5,5,5,3,ESFJ,I like organising group activities and ensuring that everyone feels included and valued.
5,3,4,4,4,5,4,5,3,2,4,4,4,5,3,ENTJ,I am direct and assertive and I prefer to make decisions quickly based on logic and data.
2,1,2,1,5,5,5,3,1,2,3,1,1,2,4,INFP,I value creativity self expression and authentic connections with people around me.
2,2,2,1,2,1,2,1,4,4,4,2,2,2,1,ISTP,I prefer working independently with flexible spontaneous approach to challenges.
4,4,5,2,5,3,3,5,5,5,4,3,4,4,3,ENTJ,I like organising people resources and processes to achieve maximum efficiency.
4,5,5,3,4,4,5,5,1,1,1,3,2,2,1,ENFP,I enjoy working on creative projects that allow me to express my imagination and enthusiasm.
2,3,1,2,3,1,2,1,5,5,3,2,1,1,1,ISTP,I like to observe situations carefully before acting and prefer practical solutions over theory.
5,2,1,2,1,1,2,2,3,2,1,2,5,4,5,ISFJ,I am patient and thorough and I like to make sure everyone feels included and supported.
3,5,4,5,4,4,4,5,4,4,3,3,3,1,1,ENTP,I like exploring unconventional ideas and finding creative ways to solve complex problems.
5,4,4,4,3,1,1,4,3,4,4,5,4,3,5,ESTJ,I am practical and results oriented and I like to get things done efficiently and on time.
5,4,4,5,5,5,4,5,1,3,2,3,1,2,1,ENFP,I am enthusiastic creative and love connecting people with exciting new opportunities.
3,1,1,3,2,3,5,5,1,2,2,3,2,1,1,INFP,I like exploring philosophical questions about identity meaning and human connection.
3,3,4,2,5,5,5,5,5,4,4,5,4,4,3,ENTJ,I am direct and assertive and I prefer to make decisions quickly based on logic and data.
1,1,2,2,1,2,3,1,5,4,4,1,3,2,3,ISTP,I like to observe situations carefully before acting and prefer practical solutions over theory.
2,2,3,2,3,2,4,2,1,3,2,1,2,2,1,ISFP,I enjoy spending time in nature and find inspiration in the beauty of everyday experiences.
2,2,2,1,1,3,2,3,1,1,2,1,1,3,1,ISFP,I like creative hands on activities and expressing my feelings through visual art.
4,1,1,1,3,4,1,1,1,1,2,2,3,2,1,ISFP,I am gentle and easy going and I prefer to avoid conflict and keep things harmonious.
2,2,1,1,5,5,4,5,1,1,4,5,5,4,5,INFJ,I am deeply empathetic and enjoy helping others achieve their personal growth goals.
3,1,3,3,2,2,1,1,4,4,4,1,1,1,3,ISTP,I enjoy hands on problem solving working with tools and understanding how things work.
5,4,4,5,4,2,1,2,1,2,2,2,1,2,1,ESFP,I enjoy living in the moment and bringing energy and excitement to everything I do.
4,1,1,1,2,1,2,1,4,3,3,3,1,4,2,ISTP,I like to observe situations carefully before acting and prefer practical solutions over theory.
3,3,1,4,3,5,3,3,3,4,5,5,3,3,3,INTJ,I enjoy designing systems and thinking critically about theoretical frameworks.
1,2,2,3,5,4,5,3,5,5,5,4,4,3,5,INTJ,I find satisfaction in mastering complex subjects and applying them to build better systems.
1,2,3,2,1,2,3,2,3,1,3,5,5,5,4,ISFJ,I am patient and thorough and I like to make sure everyone feels included and supported.
4,5,4,4,1,2,1,2,5,4,5,1,2,2,2,ESTP,I enjoy action oriented challenges negotiation and persuading others with direct energy.
3,3,4,3,2,2,2,4,5,4,3,2,4,2,1,ESTP,I like working in dynamic environments where I can respond quickly to changing situations.
2,5,4,3,2,2,2,1,4,5,4,4,3,4,3,ESTJ,I am practical and results oriented and I like to get things done efficiently and on time.
3,1,3,2,1,1,2,2,3,5,4,5,3,4,4,ISTJ,I like working with facts and data and prefer proven methods over experimental approaches.
1,3,3,2,4,5,5,5,3,3,4,4,4,5,3,INFJ,I like meaningful conversations about values and making a positive impact on society.
3,2,1,2,1,3,3,3,3,5,4,2,3,1,3,ISTP,I am independent and self reliant and I prefer to solve problems on my own terms.
3,5,5,3,1,2,3,1,4,3,5,4,3,5,5,ESTJ,I prefer clear hierarchies and well defined roles and I hold myself and others accountable.
3,3,4,4,2,3,2,1,4,2,4,3,1,3,2,ESTP,I like working in dynamic environments where I can respond quickly to changing situations.
1,2,2,1,2,3,4,2,4,2,1,3,1,2,1,ISFP,I like working on creative projects that allow me to express my personal aesthetic.
5,5,4,5,1,1,2,1,1,5,4,5,2,5,5,ESTJ,I enjoy leading projects coordinating logistics and maintaining productive structured teams.
3,3,1,2,2,3,1,1,3,1,1,2,1,2,3,ISFP,I enjoy spending time in nature and find inspiration in the beauty of everyday experiences.
3,2,4,5,4,5,5,3,1,1,3,3,2,4,4,ENFJ,I like facilitating discussions and helping teams work through challenges collaboratively.
3,3,4,4,5,3,2,5,3,1,3,4,5,5,2,ENFJ,I enjoy teaching coaching and helping communities achieve shared meaningful goals.
1,4,2,1,2,4,4,5,4,3,5,2,2,2,2,INTP,I enjoy logic puzzles theoretical debates and understanding underlying principles.
2,4,3,1,2,1,4,2,3,1,1,4,3,5,4,ISFJ,I enjoy organising and maintaining systems that help others function smoothly.
2,1,1,5,3,4,2,2,4,4,5,2,2,1,3,INTP,I find routine boring and prefer exploring new concepts and unconventional approaches.
1,2,2,3,4,5,3,4,5,3,5,3,2,1,2,INTP,I like working independently on open ended intellectual problems with no fixed answer.
2,2,2,2,4,2,3,4,3,5,5,5,4,5,4,INTJ,I prefer working independently on complex strategic problems and long term planning.
4,2,4,4,5,5,3,5,4,4,3,2,2,1,3,ENTP,I like entrepreneurial ventures innovation and rapidly generating novel concepts.
4,4,5,5,2,1,1,2,5,3,2,3,5,3,3,ESTJ,I enjoy managing operations and ensuring that systems and processes run smoothly.
1,2,2,2,1,3,1,2,2,2,1,1,4,3,4,ISFP,I like working on creative projects that allow me to express my personal aesthetic.
4,4,3,4,5,3,3,4,4,4,2,5,3,5,4,ENFJ,I am empathetic and charismatic and I naturally take on the role of mentor or guide.
5,3,4,5,1,1,1,3,2,1,4,2,2,2,1,ESFP,I enjoy performing collaborating in lively teams and bringing fun to every situation.
5,5,5,2,2,1,1,1,4,5,4,1,1,1,2,ESTP,I thrive in fast paced environments and excel at quick pragmatic problem solving.
2,3,2,4,5,5,4,5,5,5,5,1,2,3,2,ENTP,I enjoy brainstorming creative solutions and arguing multiple perspectives on problems.
2,1,1,4,4,5,3,3,2,1,1,4,4,5,5,INFJ,I prefer deep one on one conversations over large social gatherings.
3,5,4,3,5,5,4,4,4,1,4,4,3,2,4,ENTJ,I enjoy managing complex projects making decisive choices and inspiring leadership.
4,5,5,4,5,4,4,3,5,5,5,4,4,5,5,ENTJ,I am confident and decisive and I enjoy taking charge of situations that require strong leadership.
1,2,2,2,1,2,3,1,1,1,3,5,2,4,5,ISFJ,I prefer stable predictable environments where I can focus on helping those around me.
2,1,3,1,5,4,2,4,1,2,3,4,2,1,1,INFP,I enjoy quiet reflection and expressing my feelings through creative writing or art.
2,1,2,2,5,3,3,3,2,2,2,5,5,5,5,INFJ,I enjoy writing and reflecting on ideas that connect personal values to broader human themes.
5,3,5,5,1,1,3,3,2,1,2,5,4,4,3,ESFJ,I find satisfaction in maintaining harmony and helping groups work together effectively.
3,4,5,3,2,5,3,5,3,4,4,1,1,3,2,ENTP,I enjoy working with others to brainstorm and prototype new concepts quickly.
1,3,1,3,5,3,5,3,5,5,3,5,4,5,4,INTJ,I am drawn to long range strategy and enjoy working alone on intellectually demanding tasks.
1,4,3,2,1,3,3,2,5,5,5,3,3,2,5,ISTJ,I am reliable organised and prefer clear procedures and structured environments.
5,4,4,5,3,1,1,2,4,5,4,5,3,3,5,ESTJ,I prefer clear hierarchies and well defined roles and I hold myself and others accountable.
5,3,5,5,3,2,5,2,4,5,4,4,2,2,1,ENTP,I love debating new ideas challenging conventional thinking and exploring possibilities.
1,2,2,2,1,2,3,3,5,4,4,5,4,5,4,ISTJ,I prefer predictable routines and feel most productive when I have a clear plan to follow.
4,4,3,4,4,3,2,5,3,5,5,3,2,2,3,ENTP,I am energised by intellectual debate and enjoy challenging assumptions with counterarguments.
5,4,5,4,5,4,2,4,5,4,5,1,2,2,1,ENTP,I like exploring unconventional ideas and finding creative ways to solve complex problems.
1,3,2,1,3,2,1,2,2,3,2,4,1,1,1,ISFP,I enjoy spending time in nature and find inspiration in the beauty of everyday experiences.
2,1,5,3,2,1,1,4,3,5,5,4,3,2,5,ISTJ,I am reliable organised and prefer clear procedures and structured environments.
4,3,4,3,5,4,5,5,1,1,1,4,5,5,5,ENFJ,I am passionate about inspiring others mentoring teams and facilitating group growth.
5,3,5,4,3,2,2,1,2,4,1,3,3,4,4,ESFJ,I care about community harmony and enjoy organising social events and supporting others.
2,3,2,1,5,5,5,4,3,4,5,5,5,4,3,INTJ,I prefer solitude when thinking and tend to plan everything carefully before acting.
3,2,4,3,1,3,3,3,3,5,3,1,2,2,2,ISTP,I am calm under pressure and enjoy figuring out how mechanical or technical systems operate.
1,1,1,3,4,3,5,3,4,5,5,1,1,1,1,INTP,I like to analyse systems and find innovative conceptual solutions.
4,3,4,4,1,1,1,2,2,3,4,5,5,5,4,ESTJ,I am organised decisive and excellent at managing teams to meet operational goals.
5,5,4,5,1,2,2,1,2,5,5,3,4,5,3,ESTJ,I enjoy leading projects coordinating logistics and maintaining productive structured teams.
3,1,2,1,4,1,1,1,4,4,5,4,4,5,5,ISTJ,I value responsibility consistency and working systematically through detailed tasks.
2,5,5,4,5,5,3,2,4,5,4,4,3,4,4,ENTJ,I am direct and assertive and I prefer to make decisions quickly based on logic and data.
4,4,3,3,5,4,5,5,2,3,2,4,5,4,5,ENFJ,I find deep satisfaction in seeing others grow and succeed because of my support.
2,1,1,1,1,1,1,3,1,4,3,4,5,5,4,ISTJ,I prefer predictable routines and feel most productive when I have a clear plan to follow.
1,1,2,3,1,3,1,1,4,4,3,5,3,4,3,ISTJ,I take my commitments seriously and always follow through on what I promise.
3,2,1,3,1,2,1,1,4,4,5,4,4,4,4,ISTJ,I like working with facts and data and prefer proven methods over experimental approaches.
5,5,4,5,1,1,3,2,5,4,4,1,2,1,1,ESTP,I enjoy action oriented challenges negotiation and persuading others with direct energy.
5,3,4,5,4,4,3,5,3,3,5,5,5,4,3,ENTJ,I excel at leading teams setting ambitious goals and driving strategic execution.
4,4,5,4,5,2,5,3,3,1,2,2,1,2,3,ENFP,I enjoy exploring possibilities meeting diverse people and inspiring others with ideas.
4,1,2,2,4,1,1,2,4,5,5,1,4,1,1,ISTP,I like to observe situations carefully before acting and prefer practical solutions over theory.
2,3,1,1,1,4,1,2,3,5,3,2,2,2,3,ISTP,I like troubleshooting technical systems and finding practical efficient solutions.
3,3,5,5,1,2,1,2,5,3,4,2,2,3,2,ESTP,I thrive in fast paced environments and excel at quick pragmatic problem solving.
4,4,2,3,1,1,3,1,2,2,4,4,1,2,3,ESFP,I am outgoing and playful and I love being the centre of attention in social settings.
2,4,3,2,3,2,1,4,1,3,2,2,2,3,3,ESFP,I am adaptable and spontaneous and I prefer variety and excitement over routine.
2,3,1,2,3,5,5,4,1,4,5,5,5,3,5,INTJ,I enjoy setting ambitious goals and working methodically toward them without distraction.
1,1,1,3,2,4,3,1,3,3,1,4,3,5,5,ISFJ,I take pride in being dependable and always showing up for the people who count on me.
2,1,2,3,5,5,5,4,1,4,3,2,3,1,1,INFP,I like exploring philosophical questions about identity meaning and human connection.
1,2,3,2,2,1,1,4,5,3,2,3,1,1,1,ISTP,I like troubleshooting technical systems and finding practical efficient solutions.
4,4,4,4,4,3,4,4,2,2,1,3,5,5,5,ENFJ,I enjoy teaching coaching and helping communities achieve shared meaningful goals.
2,2,2,1,1,2,1,2,3,4,4,1,3,1,1,ISTP,I am calm under pressure and enjoy figuring out how mechanical or technical systems operate.
2,3,2,2,1,2,3,2,5,3,4,3,2,2,3,ISTP,I am independent and self reliant and I prefer to solve problems on my own terms.
1,2,2,3,3,2,2,1,3,5,5,4,3,5,3,ISTJ,I prefer predictable routines and feel most productive when I have a clear plan to follow.
2,1,2,3,5,4,4,5,1,3,2,4,4,4,5,INFJ,I like meaningful conversations about values and making a positive impact on society.
4,5,4,5,1,3,1,2,2,2,1,2,4,4,3,ESFJ,I am attentive to the needs of others and enjoy providing practical support and care.
1,1,3,2,1,4,1,3,2,1,3,5,3,3,5,ISFJ,I prefer stable predictable environments where I can focus on helping those around me.
3,1,1,1,5,3,4,4,5,5,4,1,1,2,2,INTP,I like working independently on open ended intellectual problems with no fixed answer.
5,4,4,4,3,4,3,4,2,1,2,3,1,2,1,ENFP,I am spontaneous and adaptable and I thrive in environments that allow for creative freedom.
5,4,5,5,4,5,5,3,5,5,3,5,5,3,4,ENTJ,I am confident and decisive and I enjoy taking charge of situations that require strong leadership.
3,1,2,2,5,3,4,5,3,3,3,3,5,3,4,INTJ,I find satisfaction in mastering complex subjects and applying them to build better systems.
5,5,3,4,1,3,3,1,1,1,2,5,5,5,3,ESFJ,I prefer structured environments where I can contribute to the wellbeing of a community.
1,3,2,1,4,3,1,5,4,4,2,1,4,3,3,INTP,I like to analyse systems and find innovative conceptual solutions.
1,1,2,2,2,2,3,2,3,2,2,5,4,5,4,ISFJ,I am attentive to the needs of others and enjoy making people feel comfortable and cared for.
4,4,5,5,3,2,2,2,5,5,4,4,5,4,4,ESTJ,I am organised decisive and excellent at managing teams to meet operational goals.
4,5,3,4,4,5,4,4,2,4,3,4,3,5,5,ENFJ,I am passionate about inspiring others mentoring teams and facilitating group growth.
1,3,3,1,4,3,3,4,4,5,5,3,4,5,5,INTJ,I enjoy designing systems and thinking critically about theoretical frameworks.
5,4,2,3,4,3,3,4,1,1,1,2,2,1,1,ENFP,I enjoy exploring possibilities meeting diverse people and inspiring others with ideas.
5,3,5,4,2,2,3,4,5,4,2,5,5,4,4,ENTJ,I excel at leading teams setting ambitious goals and driving strategic execution.
2,2,1,3,2,3,1,4,1,3,1,2,3,2,2,ISFP,I am gentle and easy going and I prefer to avoid conflict and keep things harmonious.
4,5,5,5,4,5,5,4,3,4,4,1,2,1,1,ENTP,I like to question the status quo and find better more innovative ways of doing things.
2,3,1,1,1,2,4,2,1,2,2,2,1,2,1,ISFP,I enjoy artistic expression working at my own pace and experiencing the present moment.
2,1,1,2,2,2,2,1,3,5,5,2,3,1,1,ISTP,I am calm under pressure and enjoy figuring out how mechanical or technical systems operate.
1,3,1,1,1,1,1,2,2,3,1,2,5,4,5,ISFJ,I am patient and thorough and I like to make sure everyone feels included and supported.
1,1,2,3,5,4,4,5,5,4,5,1,2,3,1,INTP,I enjoy debating ideas and exploring multiple logical frameworks before reaching a conclusion.
4,4,4,5,3,5,3,3,5,5,4,5,5,3,5,ENTJ,I like setting high standards and pushing teams to achieve results that exceed expectations.
5,2,4,5,4,4,4,3,3,4,5,4,5,4,3,ENTJ,I enjoy strategic planning and find satisfaction in turning ambitious visions into reality.
4,3,5,5,5,3,5,4,2,3,1,4,5,5,4,ENFJ,I am empathetic and charismatic and I naturally take on the role of mentor or guide.
5,5,5,4,3,2,1,1,5,3,4,1,3,2,1,ESTP,I like working in dynamic environments where I can respond quickly to changing situations.
1,3,3,4,1,1,2,3,5,4,5,4,5,5,4,ISTJ,I am reliable organised and prefer clear procedures and structured environments.
3,3,5,5,5,5,5,5,3,2,1,5,5,4,4,ENFJ,I find deep satisfaction in seeing others grow and succeed because of my support.
3,5,4,5,3,4,3,5,1,5,1,1,2,2,1,ENFP,I like brainstorming campaigns advocacy and energising teams with optimistic vision.
4,4,5,4,2,2,1,1,5,4,4,5,5,3,4,ESTJ,I like establishing clear processes enforcing standards and delivering reliable results.
4,2,5,4,5,5,5,4,1,1,2,2,3,1,1,ENFP,I like exploring many different possibilities and I often pursue multiple interests at once.
3,2,1,3,1,1,1,1,3,3,3,4,3,5,2,ISTJ,I am thorough and detail oriented and I rarely make mistakes when I follow a structured process.
5,5,3,3,1,2,2,1,5,4,5,2,2,1,2,ESTP,I prefer hands on experience over theory and I learn best by doing.
5,5,5,4,3,3,4,4,5,4,5,5,4,5,1,ENTJ,I thrive in competitive environments and enjoy the challenge of leading large scale initiatives.
5,4,5,5,4,4,5,4,2,3,2,5,5,4,5,ENFJ,I am energised by connecting with people and helping them reach their full potential.
