,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
ENFJ,176,3,10,0,2,0,1,0,7,0,1,0,0,0,0,0
ENFP,2,172,1,13,0,7,0,1,0,4,0,0,0,0,0,0
ENTJ,14,0,161,6,3,0,8,0,0,0,8,0,0,0,0,0
ENTP,0,9,4,175,0,0,0,5,0,1,0,6,0,0,0,0
ESFJ,8,0,0,0,165,9,10,1,1,0,0,0,6,0,0,0
ESFP,0,6,0,2,5,171,0,6,0,0,0,0,0,9,0,1
ESTJ,0,0,4,2,18,0,160,4,0,0,1,0,1,0,10,0
ESTP,0,2,0,2,1,11,7,173,0,0,0,0,0,1,0,3
INFJ,7,1,0,0,0,0,0,0,169,7,9,0,7,0,0,0
INFP,0,4,0,0,0,0,0,0,8,171,1,12,2,2,0,0
INTJ,0,0,7,0,0,0,0,0,4,0,175,9,0,0,4,1
INTP,0,1,0,5,0,0,0,0,0,9,5,174,0,1,0,5
ISFJ,0,0,0,0,3,0,0,0,12,0,0,0,172,6,7,0
ISFP,0,0,0,0,0,4,0,0,0,5,0,0,11,172,0,8
ISTJ,0,0,0,0,0,0,5,0,0,0,6,0,12,0,164,13
ISTP,0,0,0,0,0,0,0,8,0,0,0,8,1,12,8,163
